,time,latitude,longitude,down,heading,x,y,z
0,0,40.44043160131633,-79.94215928812352,261.3388055792518,-158.15724838429028,179.59488917469702,-139.40696119144266,261.3347535013338
1,999033000,40.44043150041382,-79.94215935371228,261.34011266852553,-158.1272758366511,179.5893245247611,-139.418166341177,261.33606050023104
2,999067000,40.440431398665694,-79.94215942195078,261.340929681736,-158.09850019283365,179.583535043729,-139.42946538986104,261.33687742835144
3,999100000,40.44043130148941,-79.9421594882694,261.34224765673923,-158.08219042780186,179.57790845945294,-139.44025675414173,261.3381953267399
4,999150000,40.44043120808138,-79.94215954941667,261.3434991948646,-158.04413609985275,179.57272063059236,-139.4506296489886,261.3394467821024
5,999167000,40.44043111748315,-79.94215961041135,261.34404718758543,-158.04596943180346,179.56754572222633,-139.46069050774594,261.3399947009401
6,999200000,40.44043102915704,-79.94215966866241,261.3449610194018,-158.07271271509956,179.56260360379767,-139.47049905603063,261.340908455618
7,999233000,40.44043094152674,-79.94215972101887,261.3461495160066,-158.0872617475394,179.55816162559842,-139.4802303277637,261.34209686385236
8,999267000,40.44043085539022,-79.94215977307661,261.347044138354,-158.12223118114412,179.553744980036,-139.4897957133313,261.3429914006743
9,999317000,40.4404307808046,-79.94215981312448,261.347543481734,-158.15656779530417,179.5503472845397,-139.49807836538125,261.34349065829684
10,999333000,40.440430721665884,-79.94215983442247,261.34727147608726,-158.13420955384348,179.54854038179778,-139.50464561880042,261.34321855907086
11,999367000,40.440430664391904,-79.94215985984926,261.3464687355164,-158.1119343631045,179.5463831455099,-139.51100579548392,261.3424157412835
12,999367000,40.440430664391904,-79.94215985984926,261.3464687355164,-158.1119343631045,179.5463831455099,-139.51100579548392,261.3424157412835
13,999400000,40.4404306086535,-79.9421598880012,261.345805496889,-158.09986741011087,179.54399469092948,-139.5171954573596,261.34175243180033
14,999433000,40.44043055647664,-79.94215990886345,261.3457720941777,-158.04408395940771,179.54222474678807,-139.52298961818806,261.3417189532412
15,999483000,40.440430508172284,-79.94215992589368,261.3452713243716,-158.0048341486437,179.5407799114746,-139.5283537279947,261.34121810622855
16,999500000,40.4404304638104,-79.94215994044242,261.34459588658757,-157.99729585599496,179.53954560524028,-139.5332800260206,261.3405425944156
17,999533000,40.44043042242643,-79.94215995248685,261.34400046766194,-157.9927417496989,179.53852377564945,-139.53787563083822,261.33994710485206
18,999583000,40.440430383525104,-79.94215996334057,261.3434226831938,-157.9953059390481,179.5376029652921,-139.5421955425479,261.3393692505855
19,999600000,40.440430346045304,-79.94215997408651,261.3426607272901,-158.02137308456443,179.5366912922758,-139.5463575925249,261.3386072285374
20,999650000,40.440430309471964,-79.94215998311273,261.3419275698909,-158.05968560462497,179.5359255283986,-139.5504189783178,261.3378740041943
21,999667000,40.4404302759467,-79.94215998892636,261.34154777216065,-158.09721926507106,179.5354323423725,-139.5541418835751,261.337494138844
22,999700000,40.44043024562623,-79.94215999141657,261.3410423466822,-158.12625437236707,179.53522112404391,-139.5575088948346,261.336988645173
23,999733000,40.44043021989329,-79.94215999025326,261.34048895730683,-158.13581981932515,179.5353198801878,-139.56036646420654,261.336435189684
24,999767000,40.44043020024653,-79.94215998682725,261.3399318427426,-158.13291323088328,179.53561060012785,-139.562548171781,261.3358780202164
25,999817000,40.4404301837349,-79.94215998775874,261.33976601452406,-158.12430734954387,179.53553160671981,-139.5643817484258,261.3357121530198
26,999833000,40.44043016717806,-79.9421599986794,261.34022919369926,-158.1045909761106,179.53460508728602,-139.56622037980753,261.33617531815634
27,999867000,40.44043015743183,-79.9421600056003,261.34064524696737,-158.0849943154574,179.53401791301673,-139.56730269922363,261.3365913642379
28,999900000,40.44043015293737,-79.94216000903573,261.3409927557261,-158.0790107882684,179.5337264516198,-139.5678018130225,261.33693887026936
29,999933000,40.440430152052144,-79.94216000870927,261.3413840679479,-158.08286213597438,179.53375416412027,-139.56790012209524,261.3373301795075
30,999983000,40.440430153806226,-79.94216000450842,261.3418681369439,-158.0867843490505,179.53411059836355,-139.56770533767047,261.337814241742
31,1000000000,40.4404301585548,-79.94215999737624,261.34238911620014,-158.08867084334477,179.5347157392141,-139.56717801761891,261.33833521603106
32,1999033000,40.44043016736724,-79.94215998916856,261.34287847918773,-158.1018766163042,179.53541211939805,-139.56619940938157,261.3388245823149
33,1999067000,40.44043018050849,-79.9421599805386,261.34336016018267,-158.12010876587988,179.53614431618612,-139.56474009830416,261.3393062745092
34,1999100000,40.440430198765114,-79.94215996948465,261.3438139865681,-158.12197912218073,179.53708216723706,-139.56271273021838,261.33976011788496
35,1999150000,40.440430221447436,-79.94215995497557,261.3440620314544,-158.08792661501346,179.53831315375857,-139.56019388711687,261.34000818411363
36,1999167000,40.44043024902648,-79.94215993717066,261.3441542126007,-158.03526639337377,179.5398237613363,-139.5571312641811,261.34010038944666
37,1999200000,40.44043028169936,-79.94215991734264,261.3442887579275,-157.99031845336071,179.5415060100837,-139.5535029786175,261.3402349679079
38,1999217000,40.440430317691956,-79.94215989622194,261.3445588687268,-157.9710240232263,179.54329793149535,-139.54950604839354,261.3405051149735
39,1999233000,40.440430317691956,-79.94215989622194,261.3445588687268,-157.9710240232263,179.54329793149535,-139.54950604839354,261.3405051149735
40,1999250000,40.44043035451141,-79.94215987280155,261.3449095264508,-157.9772454150173,179.5452849731646,-139.54541729390718,261.34085580699826
41,1999300000,40.44043039096717,-79.9421598448209,261.3450846198232,-157.98432609419442,179.54765893187687,-139.54136891434615,261.34103092311955
42,1999317000,40.44043042646453,-79.94215981445078,261.3444599754314,-158.0232900961816,179.55023560982485,-139.53742693895606,261.3404062924654
43,1999350000,40.44043046215693,-79.94215978328022,261.34394979800817,-158.06531061347744,179.55288020268713,-139.53346330678698,261.33989612754084
44,1999350000,40.44043046215693,-79.94215978328022,261.34394979800817,-158.06531061347744,179.55288020268713,-139.53346330678698,261.33989612754084
45,1999383000,40.44043049934247,-79.94215975239035,261.3434972352007,-158.10055843739283,179.55550097784476,-139.52933386634425,261.33944358046676
46,1999417000,40.44043053914236,-79.94215972246808,261.3429853488045,-158.11670757927615,179.5580396478666,-139.5249141094668,261.33893172125096
47,1999467000,40.44043058248135,-79.94215969266352,261.3422664885772,-158.10608712832135,179.56056831395003,-139.52010133923727,261.33821289435934
48,1999483000,40.44043062903711,-79.94215966276879,261.3417238166554,-158.085285377182,179.56310462955562,-139.51493135753566,261.33767026384317
49,1999517000,40.44043067560797,-79.94215963064045,261.34136612798187,-158.0479237708477,179.5658304616856,-139.50975969886986,261.337312612634
50,1999567000,40.44043072374448,-79.94215959727431,261.3408799311679,-158.0262408940565,179.5686613083012,-139.50441417373258,261.3368264528645
51,1999583000,40.44043077405446,-79.94215955891708,261.34002138991474,-158.00422852103893,179.57191561459496,-139.4988272707637,261.33596794312564
52,1999633000,40.44043082614907,-79.94215952032997,261.3392431141917,-158.02372214720666,179.57518942284057,-139.49304219017208,261.33518970226214
53,1999650000,40.440430878055075,-79.94215948018147,261.33889002143394,-158.03205765795485,179.57859572087577,-139.48727806029265,261.33483664044616
54,1999683000,40.44043093073048,-79.94215944192172,261.33841491815645,-158.04598911472164,179.5818417612018,-139.48142849068068,261.3343615730186
55,1999717000,40.440430982998976,-79.94215940319523,261.33774470611985,-158.04262345534985,179.58512739709366,-139.47562410247,261.3336913969659
56,1999750000,40.4404310359748,-79.9421593661266,261.33724190786745,-158.04111990206357,179.58827237280806,-139.4697411747255,261.33318863941406
57,1999800000,40.44043108888538,-79.94215932771509,261.33676263878925,-158.02347414454627,179.59153128784283,-139.46386548934163,261.33270940761184
58,1999817000,40.44043115163168,-79.9421592806651,261.33627086455266,-158.01681707508607,179.59552311877653,-139.45689755353817,261.3322176734265
59,1999850000,40.44043121799404,-79.94215923000797,261.335778481836,-158.02671618187932,179.59982099144273,-139.44952805409918,261.3317253328162
60,1999883000,40.44043128606237,-79.94215917794425,261.33549792981194,-158.03566794922875,179.60423820967162,-139.44196911167305,261.33144482069326
61,1999917000,40.44043135438887,-79.94215912745366,261.3354583554725,-158.03469807256926,179.60852195891,-139.4343815101751,261.3314052929884
62,1999967000,40.44043142335836,-79.94215907718394,261.3350360129665,-158.03041209159906,179.61278695676904,-139.42672249710353,261.33098299842874
63,1999983000,40.44043149366791,-79.94215902410596,261.3344734932553,-158.02076861439514,179.61729021755343,-139.41891466597593,261.3304205232124
64,2000017000,40.44043156539308,-79.94215897081679,261.3340831691611,-158.03119731045882,179.62181139704524,-139.41094963641675,261.3300302457877
65,2999050000,40.44043163631534,-79.94215891714501,261.3337167862842,-158.0384680831307,179.6263650431279,-139.403073766255,261.3296639078912
66,2999083000,40.440431707277824,-79.94215886216497,261.33332622680336,-158.05827697679257,179.63102968850055,-139.395193427595,261.3292733899381
67,2999133000,40.44043177941352,-79.94215880723067,261.3328787847417,-158.0891934692264,179.63569044957308,-139.38718280568742,261.32882599177145
68,2999150000,40.44043185180018,-79.94215875123064,261.33281908957304,-158.09982791461846,179.64044164283558,-139.37914432012082,261.328766338683
69,2999183000,40.44043192476189,-79.94215869602567,261.3326089372216,-158.10624087690385,179.64512537231843,-139.3710419760636,261.3285562330143
70,2999217000,40.44043199783846,-79.9421586431784,261.3321739634117,-158.10840713460107,179.6496090537355,-139.3629268761539,261.32812131097853
71,2999250000,40.44043207024877,-79.94215858764795,261.33164320085854,-158.07291519736324,179.65432039168763,-139.3548857552345,261.32759059152886
72,2999300000,40.440432144989856,-79.94215853407795,261.3312474250433,-158.06666376537098,179.6588653913522,-139.34658581401396,261.3271948696302
73,2999317000,40.44043222881784,-79.9421584951663,261.3306711538696,-158.0493188140716,179.66216665672454,-139.33727681992178,261.32661871066955
74,2999350000,40.44043231450171,-79.94215846117044,261.3301238377968,-158.06644652579547,179.66505083133697,-139.32776174418566,261.3260715210025
75,2999350000,40.44043231450171,-79.94215846117044,261.3301238377968,-158.06644652579547,179.66505083133697,-139.32776174418566,261.3260715210025
76,2999383000,40.44043239843202,-79.94215842561755,261.32964475122895,-158.07757292948293,179.66806712076453,-139.31844139693322,261.32559255303386
77,2999417000,40.440432481512765,-79.94215839028881,261.32855693167136,-158.10564912504978,179.67106437673854,-139.30921537809078,261.32450485157864
78,2999467000,40.44043256268138,-79.9421583526506,261.32782983959646,-158.1182335919088,179.67425759805286,-139.3002017001372,261.3237778682559
79,2999483000,40.4404326424508,-79.9421583183079,261.32749691553244,-158.14465316018783,179.67717122313263,-139.29134341479474,261.32344505492557
80,2999517000,40.440432723093984,-79.94215828383737,261.3269267573548,-158.15808579568116,179.68009568373094,-139.2823880944316,261.322875011149
81,2999567000,40.440432805226976,-79.94215824960723,261.326070031105,-158.1492083791864,179.68299973760037,-139.2732673284258,261.32201840311063
82,2999583000,40.44043288820007,-79.94215821948319,261.3254104818542,-158.14542009695893,179.68555540734545,-139.26405328483696,261.32135898239534
83,2999617000,40.44043296934821,-79.94215818519041,261.3245062792318,-158.11617009687424,179.68846477674884,-139.25504188318396,261.32045489515184
84,2999617000,40.44043296934821,-79.94215818519041,261.3245062792318,-158.11617009687424,179.68846477674884,-139.25504188318396,261.32045489515184
