,time,latitude,longitude,down,heading,x,y,z
0,0,40.440267122736444,-79.94215345688266,265.4758207077504,-3.338229800834041,-157.7639826312016,-39.54142214316767,265.4758207077504
1,100000,40.44026710551154,-79.94215338134302,265.47596861758063,-3.349713982852714,-157.76589650772618,-39.54284695493416,265.47596861758063
2,200000,40.440267088286625,-79.94215330580336,265.47611652871075,-3.3597873703444185,-157.76781038504024,-39.54427176821857,265.47611652871075
3,300000,40.440266648877866,-79.94215304678434,265.54668940737815,-3.3696776348557846,-157.81663353158018,-39.5491573403148,265.54668940737815
4,400000,40.440266631652946,-79.9421529712447,265.5468373182151,-3.3796555236045385,-157.81854740968373,-39.55058215886675,265.5468373182151
5,500000,40.44026670007985,-79.94215327312965,265.5462355828749,-3.389267873294851,-157.81094442764146,-39.54488805331443,265.5462355828749
6,600000,40.4402666829694,-79.94215319765627,265.5463859363427,-3.4008232292010043,-157.81284558704274,-39.54631161823852,265.5463859363427
7,999700000,40.440266665858964,-79.94215312218287,265.5465362909284,-3.411034320189165,-157.81474674486506,-39.54773518467834,265.5465362909284
8,999805000,40.44026573824913,-79.94215255625069,265.60365411266076,-3.4224640722227524,-157.91781440096418,-39.558409741811474,265.60365411266076
9,999900000,40.44026572113868,-79.9421524807773,265.6038044661312,-3.432792862706436,-157.91971556036546,-39.55983331885465,265.6038044661312
10,1000000000,40.44026578891372,-79.94215277995377,265.603198123911,-3.444932256888961,-157.9121850078193,-39.55419026789813,265.603198123911
11,1000100000,40.44026577179896,-79.94215270440658,265.6033511519643,-3.4564335189180877,-157.91408664565222,-39.555615233196505,265.6033511519643
12,1000200000,40.44026575468419,-79.94215262885938,265.60350418172834,-3.4673944360119306,-157.91598828506412,-39.55704020001305,265.60350418172834
13,1000300000,40.44026515708934,-79.94215223320079,265.6484578424692,-3.4779752573572544,-157.98238764625057,-39.56450310874363,265.6484578424692
14,1000400000,40.440265139974564,-79.9421521576536,265.64861087193896,-3.489130413402848,-157.98428928645197,-39.56592808308946,265.64861087193896
15,1000500000,40.440265208582204,-79.94215246117213,265.64798618550327,-3.499918992329012,-157.97666622291308,-39.560203111171376,265.64798618550327
16,1000600000,40.44026519167909,-79.94215238639674,265.64814003171824,-3.5119813241185645,-157.97854434496293,-39.561613523944494,265.64814003171824
17,1999700000,40.44026517477595,-79.94215231162138,265.64829387681533,-3.5229494208111443,-157.98042246938127,-39.56302393740622,265.64829387681533
18,1999800000,40.44026453494632,-79.94215164347051,265.66794587700645,-3.5332961362100663,-158.05151457932004,-39.57562665955571,265.66794587700645
19,1999900000,40.4402645180432,-79.94215156869514,265.6680997224008,-3.5443938581643426,-158.05339270215939,-39.57703708545354,265.6680997224008
20,2000005000,40.44026458492499,-79.94215186496518,265.6674807355173,-3.5563284960213517,-158.04596139970226,-39.57144879618941,265.6674807355173
21,2000100000,40.440264568116945,-79.94215179051328,265.6676361985429,-3.566205017341249,-158.0478289583607,-39.57285311717348,265.6676361985429
22,2000200000,40.440264551308886,-79.94215171606137,265.66779166186484,-3.577316578696671,-158.04969651859807,-39.5742574393717,265.66779166186484
23,2000300000,40.440264284860724,-79.94215139638011,265.7158905084452,-3.588530431777159,-158.07930184024966,-39.58028732572446,265.7158905084452
24,2000400000,40.44026426805267,-79.94215132192821,265.7160459717696,-3.599767169346843,-158.08116939969756,-39.58169165435008,265.7160459717696
25,2000500000,40.44026433563988,-79.94215161943688,265.7154153885349,-3.6105347846863802,-158.07365971734964,-39.57607998578048,265.7154153885349
26,2000600000,40.44026431874587,-79.94215154505737,265.71557296587883,-3.6218438745341888,-158.07553682806136,-39.5774829453332,265.71557296587883
27,2999705000,40.44026430185186,-79.94215147067784,265.71573054392985,-3.630523588853723,-158.07741393798358,-39.57888590636576,265.71573054392985
28,2999800000,40.44026368489596,-79.94215074862419,265.7786566857214,-3.64143508603872,-158.1459645251527,-39.592505484899874,265.7786566857214
29,2999900000,40.440263668001954,-79.94215067424466,265.77881426306834,-3.6523187248381643,-158.1478416350749,-39.5939084589078,265.77881426306834
30,3000000000,40.44026373474499,-79.942150967987,265.7781833240312,-3.661893114982851,-158.14042574980073,-39.58836778984312,265.7781833240312
31,3000100000,40.44026371788943,-79.94215089380322,265.77834259485843,-3.6712656337581207,-158.1422985877864,-39.58976706815929,265.77834259485843
32,3000200000,40.440263701033864,-79.94215081961943,265.7785018676928,-3.681795750075462,-158.14417142656157,-39.59116634768087,265.7785018676928
33,3000300000,40.44026356141,-79.94215038415759,265.8409067933942,-3.693157448354771,-158.15968517376672,-39.599380199497425,265.8409067933942
34,3000400000,40.44026354455445,-79.94215030997381,265.84106606593525,-3.705205959204937,-158.1615580109629,-39.60077948703216,265.84106606593525
35,3000500000,40.44026361282869,-79.94215060765589,265.8404183455692,-3.726665035781653,-158.15397199192722,-39.59516448176374,265.8404183455692
36,3000600000,40.44026359601153,-79.94215053431647,265.8405778761159,-3.729170087700637,-158.15584056271328,-39.59654783915348,265.8405778761159
37,3999700000,40.44026357919435,-79.94215046097703,265.8407374087841,-3.74660458959273,-158.1577091366573,-39.597931197989396,265.8407374087841
38,3999800000,40.44026302680565,-79.94215005439432,265.95692880719895,-3.751262311716808,-158.21908559731838,-39.60560035102909,265.95692880719895
